Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
37,179,344,62,27,24,26,46
30,142,311,60,30,25,25,33
30,187,427,54,29,28,28,33
32,186,433,53,28,25,26,29
29,168,448,58,29,27,27,30
33,166,462,57,31,30,26,32
38,225,484,59,32,31,28,30
40,194,377,55,31,29,26,29
42,199,372,62,33,31,29,37
44,202,353,57,32,30,27,45
41,201,371,55,31,26,27,43
36,139,356,51,28,23,24,44
40,131,388,60,31,25,24,45
36,124,396,52,27,23,21,38
35,124,460,57,30,23,20,29
36,120,485,57,30,24,19,37
36,146,489,54,29,24,19,36
30,152,489,52,27,22,19,37
29,151,505,51,26,22,19,38
29,150,459,46,23,24,19,37
33,161,440,54,22,22,22,45
38,152,476,56,24,23,22,81
44,182,533,65,22,24,24,96
48,182,492,67,24,24,24,100
50,203,575,69,25,21,24,127
48,197,549,68,26,22,24,146
50,184,519,67,28,25,35,224
45,156,433,58,29,25,39,256
43,153,464,59,29,23,39,261
49,198,373,63,28,24,41,258
53,194,448,80,30,24,42,270
57,186,447,91,34,25,40,258
59,174,491,94,33,24,34,228
61,174,482,98,33,24,35,231
57,91,564,111,41,25,34,229
58,104,553,96,40,27,36,259
53,112,614,94,38,27,39,242
73,174,644,102,44,112,74,287
75,193,685,105,47,134,85,363
78,191,651,105,44,135,86,370
80,199,699,113,47,144,90,351
87,207,660,122,50,199,133,431
85,186,645,134,62,298,223,463
86,178,583,132,62,334,261,439
86,180,543,121,60,344,291,472
93,168,472,134,67,501,450,560
98,151,455,121,63,504,610,557
108,140,414,104,53,538,633,574
107,155,413,107,52,547,665,683
124,159,431,114,59,612,757,702
138,181,450,98,59,582,772,721
133,205,483,106,76,737,939,746
145,235,470,101,90,794,1034,730
170,274,478,103,119,935,1158,746
200,317,449,102,135,984,1266,874
275,368,394,102,155,1107,1311,962
333,421,367,103,169,1121,1225,960
336,407,360,107,196,1226,1264,1067
415,428,418,129,232,1283,1240,1097
476,462,408,133,241,1379,1138,1032
493,469,390,135,240,1466,1158,952
540,570,358,134,251,1547,1169,1025
