Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
167,276,486,101,76,425,430,785
149,300,384,90,76,474,538,761
141,302,320,89,92,570,662,700
138,321,330,91,101,661,777,674
134,301,331,84,98,706,835,675
137,287,283,80,107,734,936,702
146,279,219,79,128,800,992,744
199,317,258,73,152,934,1055,763
214,346,377,81,178,1083,1115,817
222,355,375,103,212,1241,1192,785
247,387,373,111,209,1258,1206,748
256,416,370,109,204,1317,1221,741
293,443,348,116,198,1280,1250,743
344,438,277,198,225,1214,1314,780
369,464,365,203,239,1199,1301,906
370,484,432,217,246,1177,1232,905
369,498,646,286,254,1087,1144,868
357,470,738,313,261,1170,1084,878
310,463,714,279,233,1167,915,788
308,453,682,274,191,1030,937,676
288,448,739,262,198,1111,1027,643
289,429,762,198,184,1071,1167,718
247,420,803,170,169,958,1137,756
258,425,800,151,160,971,1213,791
225,431,803,154,165,1033,1196,781
233,450,766,177,157,967,1138,872
316,493,627,200,240,1120,1145,856
341,542,534,184,251,1219,1179,874
368,596,554,184,254,1260,1116,905
376,635,656,204,267,1298,1060,952
389,613,733,262,271,1348,1147,957
361,578,719,294,243,1355,1131,964
385,550,688,306,261,1340,1152,1009
363,508,674,318,262,1240,1215,1026
394,494,666,308,250,1214,1251,1042
405,558,768,330,267,1377,1215,1005
397,559,766,366,302,1436,1161,1041
409,587,753,476,384,1454,1148,982
428,619,834,483,391,1542,1102,962
453,608,889,504,406,1557,1082,901
480,672,802,494,413,1453,1154,983
458,734,805,448,398,1393,1169,968
441,721,812,347,344,1414,1168,991
430,709,826,350,332,1391,1167,955
411,751,711,403,396,1448,1164,988
394,684,632,371,383,1388,1057,907
411,629,649,354,350,1388,979,815
374,634,622,324,304,1269,895,715
358,605,510,303,297,1215,818,664
307,536,481,195,169,1083,719,575
250,481,398,166,140,1032,636,489
207,427,331,202,124,871,623,464
190,367,378,212,109,821,590,417
156,341,416,200,102,723,521,344
131,300,412,167,79,605,458,295
100,255,463,156,68,538,417,255
90,263,493,109,66,501,337,237
83,252,487,87,44,395,204,149
71,261,422,84,37,331,121,118
69,246,414,85,39,299,112,82
63,239,390,83,41,287,96,68
63,228,358,62,38,279,87,63
53,213,406,67,39,206,72,49
48,246,435,89,39,194,61,41
54,262,520,143,47,218,53,41
52,258,551,146,42,195,49,36
54,256,542,153,47,173,47,36
51,252,549,157,46,172,49,34
62,222,648,166,49,140,51,40
66,208,596,140,40,99,43,49
83,262,709,162,58,101,50,55
87,269,718,174,58,115,54,57
90,262,713,176,59,132,56,58
85,238,614,159,58,130,51,55
87,260,716,180,70,163,55,48
87,229,797,194,67,167,54,45
84,230,847,192,65,162,56,42
82,230,855,189,66,162,53,42
88,242,919,217,71,177,55,41
87,240,910,199,63,146,53,39
75,222,798,174,57,132,46,40
82,230,894,176,61,129,52,46
89,246,880,187,63,117,55,47
85,245,867,182,62,96,52,48
80,233,856,198,64,88,53,46
109,268,881,232,81,154,63,56
117,275,791,240,82,158,57,60
119,279,806,240,83,156,55,70
123,332,967,255,80,162,104,71
144,396,1040,272,90,204,110,79
151,410,1026,319,100,173,111,76
174,490,1069,355,122,187,113,85
179,501,1144,368,126,197,114,77
180,532,1078,366,128,205,73,77
192,525,1052,376,145,186,76,87
237,683,1063,434,164,184,80,113
256,746,1105,495,179,184,87,119
271,805,1123,519,195,199,93,127
282,796,1222,573,213,205,111,133
279,828,1238,644,216,271,112,132
290,760,1339,692,235,299,128,135
323,786,1434,706,254,344,144,152
319,784,1391,715,253,408,204,154
345,810,1368,737,268,426,211,165
385,885,1461,745,314,396,232,174
425,899,1398,762,299,404,242,209
407,915,1328,853,286,405,261,265
419,893,1398,940,318,462,227,272
455,1012,1334,1082,332,595,220,276
522,968,1220,1126,316,725,253,295
668,1088,1186,1196,411,754,284,285
721,1169,1148,1226,457,809,303,239
803,1218,1068,1214,475,909,309,235
796,1160,1143,1131,491,912,322,233
791,1166,1157,1121,526,963,334,373
648,1061,1263,991,478,1042,335,377
660,950,1270,900,455,1016,301,373
589,956,1300,933,414,960,309,378
556,932,1188,847,365,932,300,375
490,967,1154,825,293,823,247,204
467,1015,1047,838,243,719,197,164
355,980,1009,792,190,701,212,146
303,947,946,695,185,643,205,124
317,976,1004,709,198,567,197,114
283,878,967,620,177,523,203,109
280,749,979,577,179,481,194,112
247,681,920,548,161,460,187,103
256,628,944,516,169,391,171,114
240,517,863,480,156,384,165,117
251,514,828,471,155,346,150,117
231,512,766,450,144,330,147,101
227,532,757,426,150,319,125,106
193,559,661,380,131,290,107,94
194,517,692,348,128,261,106,87
171,494,711,309,119,239,85,76
172,462,640,274,119,210,88,78
165,410,655,224,116,179,69,70
144,293,713,178,107,176,66,77
105,274,648,165,98,171,60,83
108,270,643,167,88,173,60,86
109,265,669,167,84,181,52,90
122,270,624,184,71,186,63,90
113,252,556,171,68,151,65,71
111,239,553,164,65,146,66,123
109,310,548,167,63,161,69,131
113,314,557,192,64,164,71,151
89,300,524,166,52,178,78,218
90,300,529,172,52,174,77,225
84,285,491,162,50,175,75,222
71,180,436,144,40,169,85,265
82,209,503,144,42,168,103,254
87,214,593,160,48,168,107,212
91,211,575,159,58,255,198,253
94,206,577,159,62,347,249,304
95,212,603,157,63,369,270,310
97,248,685,124,64,371,272,314
90,243,592,92,60,392,276,314
